title,f_name,url
Animalia,animalia,https://www.commonsensemedia.org/book-reviews/animalia
Kipper's Bedtime,kippers-bedtime,https://www.commonsensemedia.org/book-reviews/kippers-bedtime
The Kingfisher Young Discoverers Encyclopedia of Facts and Experiments,the-kingfisher-young-discoverers-encyclopedia-of-facts-and-experiments,https://www.commonsensemedia.org/book-reviews/the-kingfisher-young-discoverers-encyclopedia-of-facts-and-experiments
Daniel's Story,daniels-story,https://www.commonsensemedia.org/book-reviews/daniels-story
Nelson Mandela's Favorite African Folktales (audiobook),nelson-mandelas-favorite-african-folktales-audiobook,https://www.commonsensemedia.org/book-reviews/nelson-mandelas-favorite-african-folktales-audiobook
Creature of the Night,creature-of-the-night,https://www.commonsensemedia.org/book-reviews/creature-of-the-night
The True Confessions of Charlotte Doyle,the-true-confessions-of-charlotte-doyle,https://www.commonsensemedia.org/book-reviews/the-true-confessions-of-charlotte-doyle
Just in Case: A Trickster Tale and Spanish Alphabet Book,just-in-case-a-trickster-tale-and-spanish-alphabet-book,https://www.commonsensemedia.org/book-reviews/just-in-case-a-trickster-tale-and-spanish-alphabet-book
Fairy Tale,fairy-tale,https://www.commonsensemedia.org/book-reviews/fairy-tale
The Treasure Map of Boys,the-treasure-map-of-boys,https://www.commonsensemedia.org/book-reviews/the-treasure-map-of-boys
It's a Secret,its-a-secret,https://www.commonsensemedia.org/book-reviews/its-a-secret
Tricks,tricks,https://www.commonsensemedia.org/book-reviews/tricks
"I Love You, Beth Cooper",i-love-you-beth-cooper,https://www.commonsensemedia.org/book-reviews/i-love-you-beth-cooper
The Girl Who Wanted to Dance,the-girl-who-wanted-to-dance,https://www.commonsensemedia.org/book-reviews/the-girl-who-wanted-to-dance
The Train of States,the-train-of-states,https://www.commonsensemedia.org/book-reviews/the-train-of-states
Castration Celebration,castration-celebration,https://www.commonsensemedia.org/book-reviews/castration-celebration
Being Nikki: An Airhead Novel,being-nikki-an-airhead-novel,https://www.commonsensemedia.org/book-reviews/being-nikki-an-airhead-novel
L.A. Candy,la-candy,https://www.commonsensemedia.org/book-reviews/la-candy
"The Summoning: Darkest Powers, Book 1",the-summoning-darkest-powers-book-1,https://www.commonsensemedia.org/book-reviews/the-summoning-darkest-powers-book-1
"Once Dead, Twice Shy: Madison Avery, Book 1",once-dead-twice-shy-madison-avery-book-1,https://www.commonsensemedia.org/book-reviews/once-dead-twice-shy-madison-avery-book-1
